,ts_code,symbol,name,area,industry,list_date
2838,600243.SH,600243,青海华鼎,青海,机床制造,20001120
2839,600246.SH,600246,万通发展,北京,区域地产,20000922
2840,600248.SH,600248,陕西建工,陕西,建筑工程,20000622
2841,600249.SH,600249,两面针,广西,日用化工,20040130
2842,600250.SH,600250,南纺股份,江苏,商贸代理,20010306
2843,600251.SH,600251,冠农股份,新疆,农业综合,20030609
2844,600252.SH,600252,中恒集团,广西,中成药,20001130
2845,600255.SH,600255,鑫科材料,安徽,小金属,20001122
2846,600256.SH,600256,广汇能源,新疆,石油开采,20000526
2847,600257.SH,600257,大湖股份,湖南,渔业,20000612
2848,600258.SH,600258,首旅酒店,北京,酒店餐饮,20000601
2849,600259.SH,600259,广晟有色,海南,小金属,20000525
2850,600260.SH,600260,*ST凯乐,湖北,通信设备,20000706
2851,600261.SH,600261,阳光照明,浙江,家用电器,20000720
2852,600262.SH,600262,北方股份,内蒙,专用机械,20000630
2853,600265.SH,600265,*ST景谷,云南,林业,20000825
2854,600266.SH,600266,城建发展,北京,区域地产,19990203
2855,600267.SH,600267,海正药业,浙江,化学制药,20000725
2856,600268.SH,600268,国电南自,江苏,电气设备,19991118
2857,600269.SH,600269,赣粤高速,江西,路桥,20000518
2858,600271.SH,600271,航天信息,北京,IT设备,20030711
2859,600272.SH,600272,开开实业,上海,医药商业,20010228
2860,600273.SH,600273,嘉化能源,浙江,化工原料,20030627
2861,600276.SH,600276,恒瑞医药,江苏,化学制药,20001018
2862,600277.SH,600277,亿利洁能,内蒙,化工原料,20000725
2863,600278.SH,600278,东方创业,上海,商贸代理,20000712
2864,600279.SH,600279,重庆港,重庆,港口,20000731
2865,600280.SH,600280,中央商场,江苏,百货,20000926
2866,600281.SH,600281,华阳新材,山西,小金属,20001109
2867,600282.SH,600282,南钢股份,江苏,普钢,20000919
2868,600283.SH,600283,钱江水利,浙江,水务,20001018
2869,600284.SH,600284,浦东建设,上海,建筑工程,20040316
2870,600285.SH,600285,羚锐制药,河南,中成药,20001018
2871,600287.SH,600287,江苏舜天,江苏,商贸代理,20000901
2872,600288.SH,600288,大恒科技,北京,元器件,20001129
2873,600289.SH,600289,ST信通,黑龙江,软件服务,20000720
2874,600290.SH,600290,ST华仪,浙江,电气设备,20001106
2875,600292.SH,600292,远达环保,重庆,环境保护,20001101
2876,600293.SH,600293,三峡新材,湖北,玻璃,20000919
2877,600295.SH,600295,鄂尔多斯,内蒙,特种钢,20010426
2878,600297.SH,600297,广汇汽车,辽宁,汽车服务,20001116
2879,600298.SH,600298,安琪酵母,湖北,食品,20000818
2880,600299.SH,600299,安迪苏,北京,化学制药,20000420
2881,600300.SH,600300,维维股份,江苏,软饮料,20000630
2882,600301.SH,600301,南化股份,广西,商贸代理,20000712
2883,600302.SH,600302,标准股份,陕西,纺织机械,20001213
2884,600303.SH,600303,ST曙光,辽宁,汽车整车,20001226
2885,600305.SH,600305,恒顺醋业,江苏,食品,20010206
2886,600306.SH,600306,ST商城,辽宁,百货,20001226
2887,600307.SH,600307,酒钢宏兴,甘肃,普钢,20001220
2888,600308.SH,600308,华泰股份,山东,造纸,20000928
2889,600309.SH,600309,万华化学,山东,化工原料,20010105
2890,600310.SH,600310,桂东电力,广西,水力发电,20010228
2891,600311.SH,600311,*ST荣华,甘肃,黄金,20010626
2892,600312.SH,600312,平高电气,河南,电气设备,20010221
2893,600313.SH,600313,农发种业,北京,种植业,20010119
2894,600315.SH,600315,上海家化,上海,日用化工,20010315
2895,600316.SH,600316,洪都航空,江西,航空,20001215
2896,600318.SH,600318,新力金融,安徽,多元金融,20001208
2897,600319.SH,600319,亚星化学,山东,化工原料,20010326
2898,600320.SH,600320,振华重工,上海,工程机械,20001221
2899,600321.SH,600321,正源股份,四川,其他建材,20010524
2900,600322.SH,600322,天房发展,天津,区域地产,20010910
2901,600323.SH,600323,瀚蓝环境,广东,环境保护,20001225
2902,600325.SH,600325,华发股份,广东,区域地产,20040225
2903,600326.SH,600326,西藏天路,西藏,水泥,20010116
2904,600327.SH,600327,大东方,江苏,医疗保健,20020625
2905,600328.SH,600328,中盐化工,内蒙,化工原料,20001222
2906,600329.SH,600329,达仁堂,天津,中成药,20010606
2907,600330.SH,600330,天通股份,浙江,元器件,20010118
2908,600331.SH,600331,宏达股份,四川,铅锌,20011220
2909,600332.SH,600332,白云山,广东,中成药,20010206
2910,600333.SH,600333,长春燃气,吉林,供气供热,20001211
2911,600335.SH,600335,国机汽车,天津,汽车配件,20010305
2912,600336.SH,600336,澳柯玛,山东,家用电器,20001229
2913,600337.SH,600337,美克家居,江西,家居用品,20001127
2914,600338.SH,600338,西藏珠峰,西藏,铅锌,20001227
2915,600339.SH,600339,中油工程,新疆,石油加工,20001225
2916,600340.SH,600340,华夏幸福,河北,区域地产,20031230
2917,600343.SH,600343,航天动力,陕西,航空,20030408
2918,600345.SH,600345,长江通信,湖北,通信设备,20001222
2919,600346.SH,600346,恒力石化,辽宁,石油加工,20010820
2920,600348.SH,600348,华阳股份,山西,煤炭开采,20030821
2921,600350.SH,600350,山东高速,山东,路桥,20020318
2922,600351.SH,600351,亚宝药业,山西,中成药,20020926
2923,600352.SH,600352,浙江龙盛,浙江,染料涂料,20030801
2924,600353.SH,600353,旭光电子,四川,元器件,20021120
2925,600354.SH,600354,敦煌种业,甘肃,种植业,20040115
2926,600355.SH,600355,精伦电子,湖北,元器件,20020613
2927,600356.SH,600356,恒丰纸业,黑龙江,造纸,20010419
2928,600358.SH,600358,国旅联合,江苏,旅游服务,20000922
2929,600359.SH,600359,新农开发,新疆,农业综合,19990429
2930,600360.SH,600360,华微电子,吉林,半导体,20010316
2931,600361.SH,600361,华联综超,北京,超市连锁,20011129
2932,600362.SH,600362,江西铜业,江西,铜,20020111
2933,600363.SH,600363,联创光电,江西,元器件,20010329
2934,600365.SH,600365,ST通葡,吉林,红黄酒,20010115
2935,600366.SH,600366,宁波韵升,浙江,矿物制品,20001030
2936,600367.SH,600367,红星发展,贵州,化工原料,20010320
2937,600368.SH,600368,五洲交通,广西,路桥,20001221
2938,600369.SH,600369,西南证券,重庆,证券,20010109
2939,600370.SH,600370,三房巷,江苏,化工原料,20030306
2940,600371.SH,600371,万向德农,黑龙江,种植业,20020916
